fid;left;top;right;bottom;left;top;right;bottom;Final count;Final average;;;;;;;;;;;;;;;;
72;750000;1040000;749000;1041000;453416,3627;5556621,379;454407,7812;5555630,015;36300;36300;36 300;;;;;;;;;;;;;;;
73;750000;1041000;749000;1042000;453416,3627;5555630,015;454407,7812;5554638,651;54300;18100;12 200;27 100;15 000;;;;;;;;;;;;;
74;750000;1042000;749000;1043000;453416,3627;5554638,651;454407,7812;5553647,287;83800;27933;24 400;37 700;21 700;;;;;;;;;;;;;
75;750000;1043000;749000;1044000;453416,3627;5553647,287;454407,7812;5552655,923;26300;26300;26 300;;;;;;;;;;;;;;;
76;750000;1044000;749000;1045000;453416,3627;5552655,923;454407,7812;5551664,559;0;0;0;;;;;;;;;;;;;;;
77;750000;1045000;749000;1046000;453416,3627;5551664,559;454407,7812;5550673,195;20500;10250;12 800;7 700;;;;;;;;;;;;;;
78;750000;1046000;749000;1047000;453416,3627;5550673,195;454407,7812;5549681,831;0;0;0;;;;;;;;;;;;;;;
79;750000;1047000;749000;1048000;453416,3627;5549681,831;454407,7812;5548690,467;0;0;0;;;;;;;;;;;;;;;
80;750000;1048000;749000;1049000;453416,3627;5548690,467;454407,7812;5547699,103;44300;44300;44 300;;;;;;;;;;;;;;;
81;750000;1049000;749000;1050000;453416,3627;5547699,103;454407,7812;5546707,739;0;0;0;;;;;;;;;;;;;;;
82;750000;1050000;749000;1051000;453416,3627;5546707,739;454407,7812;5545716,375;0;0;0;;;;;;;;;;;;;;;
83;750000;1051000;749000;1052000;453416,3627;5545716,375;454407,7812;5544725,011;0;0;0;;;;;;;;;;;;;;;
84;750000;1052000;749000;1053000;453416,3627;5544725,011;454407,7812;5543733,647;21400;10700;14 400;7 000;;;;;;;;;;;;;;
85;;7;;;;;;;0;0;0;;;;;;;;;;;;;;;
86;749000;1038000;748000;1039000;454407,7812;5558604,107;455399,1997;5557612,743;0;0;0;;;;;;;;;;;;;;;
87;749000;1039000;748000;1040000;454407,7812;5557612,743;455399,1997;5556621,379;4500;4500;4 500;;;;;;;;;;;;;;;
88;749000;1040000;748000;1041000;454407,7812;5556621,379;455399,1997;5555630,015;134400;33600;40 700;31 600;31 600;30 500;;;;;;;;;;;;
89;749000;1041000;748000;1042000;454407,7812;5555630,015;455399,1997;5554638,651;65000;32500;27 200;37 800;;;;;;;;;;;;;;
90;749000;1042000;748000;1043000;454407,7812;5554638,651;455399,1997;5553647,287;92200;30733;33 900;30 600;27 700;;;;;;;;;;;;;
91;749000;1043000;748000;1044000;454407,7812;5553647,287;455399,1997;5552655,923;0;0;0;;;;;;;;;;;;;;;
92;749000;1044000;748000;1045000;454407,7812;5552655,923;455399,1997;5551664,559;53600;26800;21 100;32 500;;;;;;;;;;;;;;
93;749000;1045000;748000;1046000;454407,7812;5551664,559;455399,1997;5550673,195;0;0;0;;;;;;;;;;;;;;;
94;749000;1046000;748000;1047000;454407,7812;5550673,195;455399,1997;5549681,831;0;0;0;;;;;;;;;;;;;;;
95;749000;1047000;748000;1048000;454407,7812;5549681,831;455399,1997;5548690,467;45400;45400;45 400;;;;;;;;;;;;;;;
96;749000;1048000;748000;1049000;454407,7812;5548690,467;455399,1997;5547699,103;0;0;0;;;;;;;;;;;;;;;
97;749000;1049000;748000;1050000;454407,7812;5547699,103;455399,1997;5546707,739;0;0;0;;;;;;;;;;;;;;;
98;749000;1050000;748000;1051000;454407,7812;5546707,739;455399,1997;5545716,375;0;0;0;;;;;;;;;;;;;;;
99;749000;1051000;748000;1052000;454407,7812;5545716,375;455399,1997;5544725,011;0;0;0;;;;;;;;;;;;;;;
100;749000;1052000;748000;1053000;454407,7812;5544725,011;455399,1997;5543733,647;0;0;0;;;;;;;;;;;;;;;
101;;9;;;;;;;0;0;0;;;;;;;;;;;;;;;
102;747000;1036000;746000;1037000;456390,6182;5560586,834;457382,0367;5559595,47;15000;15000;15 000;;;;;;;;;;;;;;;
103;747000;1037000;746000;1038000;456390,6182;5559595,47;457382,0367;5558604,107;0;0;0;;;;;;;;;;;;;;;
104;747000;1038000;746000;1039000;456390,6182;5558604,107;457382,0367;5557612,743;0;0;0;;;;;;;;;;;;;;;
105;747000;1039000;746000;1040000;456390,6182;5557612,743;457382,0367;5556621,379;0;0;0;;;;;;;;;;;;;;;
106;747000;1040000;746000;1041000;456390,6182;5556621,379;457382,0367;5555630,015;0;0;0;;;;;;;;;;;;;;;
107;747000;1041000;746000;1042000;456390,6182;5555630,015;457382,0367;5554638,651;160800;32160;31 000;40 900;39 100;34 200;15 600;;;;;;;;;;;
108;747000;1042000;746000;1043000;456390,6182;5554638,651;457382,0367;5553647,287;49800;49800;49 800;;;;;;;;;;;;;;;
109;747000;1043000;746000;1044000;456390,6182;5553647,287;457382,0367;5552655,923;8400;8400;8 400;;;;;;;;;;;;;;;
110;747000;1044000;746000;1045000;456390,6182;5552655,923;457382,0367;5551664,559;107500;26875;26 800;22 700;35 900;22 100;;;;;;;;;;;;
111;747000;1045000;746000;1046000;456390,6182;5551664,559;457382,0367;5550673,195;48600;24300;25 800;22 800;;;;;;;;;;;;;;
112;747000;1046000;746000;1047000;456390,6182;5550673,195;457382,0367;5549681,831;32100;16050;26 300;5 800;;;;;;;;;;;;;;
113;747000;1047000;746000;1048000;456390,6182;5549681,831;457382,0367;5548690,467;0;0;0;;;;;;;;;;;;;;;
114;747000;1048000;746000;1049000;456390,6182;5548690,467;457382,0367;5547699,103;50600;50600;50 600;;;;;;;;;;;;;;;
115;747000;1049000;746000;1050000;456390,6182;5547699,103;457382,0367;5546707,739;47800;47800;47 800;;;;;;;;;;;;;;;
116;747000;1050000;746000;1051000;456390,6182;5546707,739;457382,0367;5545716,375;0;0;0;;;;;;;;;;;;;;;
