fid;left;top;right;bottom;car_count_average;Area_of_cell;mixed_use_area_per_cell;final_average;;;;;;;;;;;;;;;;
64;452424.9442;5544725.011;453416.3627;5543733.647;18000;1000000;887200;18000;18000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;453416.3627;5558604.107;454407.7812;5557612.743;0;1000000;991100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;453416.3627;5557612.743;454407.7812;5556621.379;0;1000000;747900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;453416.3627;5556621.379;454407.7812;5555630.015;36300;1000000;823700;36300;36300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;453416.3627;5555630.015;454407.7812;5554638.651;18100;1000000;711000;18100;12200;27100;15000;0;0;0;0;0;0;0;0;0;0;0;0;0
69;453416.3627;5554638.651;454407.7812;5553647.287;27933,33333;1000000;728800;27933,33333;24400;37700;21700;0;0;0;0;0;0;0;0;0;0;0;0;0
70;453416.3627;5553647.287;454407.7812;5552655.923;26300;1000000;769100;26300;26300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;453416.3627;5552655.923;454407.7812;5551664.559;0;1000000;953000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;453416.3627;5551664.559;454407.7812;5550673.195;10250;1000000;752400;10250;12800;7700;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;453416.3627;5550673.195;454407.7812;5549681.831;0;1000000;779700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;453416.3627;5549681.831;454407.7812;5548690.467;0;1000000;983600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;453416.3627;5548690.467;454407.7812;5547699.103;44300;1000000;790700;44300;44300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;453416.3627;5547699.103;454407.7812;5546707.739;0;1000000;838200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;453416.3627;5546707.739;454407.7812;5545716.375;0;1000000;830700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;453416.3627;5545716.375;454407.7812;5544725.011;0;1000000;731300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;453416.3627;5544725.011;454407.7812;5543733.647;10700;1000000;943900;10700;14400;7000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;454407.7812;5558604.107;455399.1997;5557612.743;0;1000000;738400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;454407.7812;5557612.743;455399.1997;5556621.379;4500;1000000;927400;4500;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;454407.7812;5556621.379;455399.1997;5555630.015;33600;1000000;800300;33600;40700;31600;31600;30500;0;0;0;0;0;0;0;0;0;0;0;0
83;454407.7812;5555630.015;455399.1997;5554638.651;32500;1000000;708800;32500;27200;37800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;454407.7812;5554638.651;455399.1997;5553647.287;30733,33333;1000000;770700;30733,33333;33900;30600;27700;0;0;0;0;0;0;0;0;0;0;0;0;0
85;454407.7812;5553647.287;455399.1997;5552655.923;0;1000000;832100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;454407.7812;5552655.923;455399.1997;5551664.559;26800;1000000;807600;26800;21100;32500;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;454407.7812;5551664.559;455399.1997;5550673.195;0;1000000;855700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;454407.7812;5550673.195;455399.1997;5549681.831;0;1000000;996700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;454407.7812;5549681.831;455399.1997;5548690.467;45400;1000000;802600;45400;45400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;454407.7812;5548690.467;455399.1997;5547699.103;0;1000000;941400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;454407.7812;5547699.103;455399.1997;5546707.739;0;1000000;709400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;454407.7812;5546707.739;455399.1997;5545716.375;0;1000000;936400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;454407.7812;5545716.375;455399.1997;5544725.011;0;1000000;958200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;454407.7812;5544725.011;455399.1997;5543733.647;0;1000000;793200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;456390.6182;5560586.834;457382.0367;5559595.47;15000;1000000;929000;15000;15000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;456390.6182;5559595.47;457382.0367;5558604.107;0;1000000;997100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;456390.6182;5558604.107;457382.0367;5557612.743;0;1000000;827700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;456390.6182;5557612.743;457382.0367;5556621.379;0;1000000;855200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;456390.6182;5556621.379;457382.0367;5555630.015;0;1000000;897400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;456390.6182;5555630.015;457382.0367;5554638.651;32160;1000000;886500;32160;31000;40900;39100;34200;15600;0;0;0;0;0;0;0;0;0;0;0
101;456390.6182;5554638.651;457382.0367;5553647.287;49800;1000000;932300;49800;49800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;456390.6182;5553647.287;457382.0367;5552655.923;8400;1000000;998900;8400;8400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;456390.6182;5552655.923;457382.0367;5551664.559;26875;1000000;916800;26875;26800;22700;35900;22100;0;0;0;0;0;0;0;0;0;0;0;0
104;456390.6182;5551664.559;457382.0367;5550673.195;24300;1000000;803800;24300;25800;22800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;456390.6182;5550673.195;457382.0367;5549681.831;16050;1000000;898700;16050;26300;5800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;456390.6182;5549681.831;457382.0367;5548690.467;0;1000000;867400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;456390.6182;5548690.467;457382.0367;5547699.103;50600;1000000;912000;50600;50600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;456390.6182;5547699.103;457382.0367;5546707.739;47800;1000000;934700;47800;47800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;456390.6182;5546707.739;457382.0367;5545716.375;0;1000000;759700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;456390.6182;5545716.375;457382.0367;5544725.011;0;1000000;735900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
